R,G,B,EX,LI,BF3,RF3,GF2
255,54.89,10.9,40000,R100,0.133333333,0.6,0.15
255,220.03,43.62,40000,R100,0.083333333,0.666666667,0.066666667
255,255,75.28,40000,R100,0.05,0.533333333,0.033333333
255,255,99.52,40000,R100,0.116666667,0.333333333,0.016666667
255,127.71,24.91,40000,R100,0.166666667,0.466666667,0.1
255,255,58.94,40000,R100,0.15,0.2,0.05
255,231.43,46.01,40000,R100,0.083333333,0.066666667,0.066666667
255,80.68,16.24,40000,R100,0.133333333,0.133333333,0.133333333
255,255,97.87,40000,R100,0.116666667,0.4,0.016666667
255,170.32,32.64,40000,R100,0.016666667,0.466666667,0.083333333
255,128.8,24.87,40000,R100,0.166666667,0.266666667,0.1
255,255,76.5,40000,R100,0.05,0.2,0.033333333
255,58.61,11.47,40000,R100,0.033333333,0.333333333,0.15
255,42.05,8.08,40000,R100,0.1,0.533333333,0.166666667
255,255,55.37,40000,R100,0.15,0.6,0.05
255,94.3,17.86,40000,R100,0.066666667,0.666666667,0.116666667
255,231.35,44.07,40000,R100,0.1,0.066666667,0.066666667
255,132.71,24.9,40000,R100,0.016666667,0.266666667,0.1
255,70.4,13.59,40000,R100,0.083333333,0.666666667,0.133333333
255,255,55.59,40000,R100,0.033333333,0.533333333,0.05
255,255,99.18,40000,R100,0.066666667,0.4,0.016666667
255,255,74.89,40000,R100,0.133333333,0.2,0.033333333
254.95,41.19,8.01,40000,R100,0.116666667,0.466666667,0.166666667
255,57.7,11.6,40000,R100,0.05,0.133333333,0.15
255,97.32,18.25,40000,R100,0.166666667,0.333333333,0.116666667
255,165,31.52,40000,R100,0.15,0.6,0.083333333
255,67.71,12.85,40000,R100,0.033333333,0.2,0.133333333
255,42.34,8.51,40000,R100,0.083333333,0.466666667,0.166666667
255,215.87,41.35,40000,R100,0.016666667,0.4,0.066666667
255,139.32,26.35,40000,R100,0.066666667,0.066666667,0.1
255,55.5,10.74,40000,R100,0.15,0.333333333,0.15
255,255,56.95,40000,R100,0.133333333,0.133333333,0.05
255,167.34,32.25,40000,R100,0.166666667,0.533333333,0.083333333
